Authors                                      	   Record Count	         % of 547
Kováts T                                     	              1	     0.183
Kärenlampi PP                                	              1	     0.183
La Rocca CE                                  	              2	     0.366
Labatut V                                    	              3	     0.548
Lacasa L                                     	              2	     0.366
Lah JJ                                       	              1	     0.183
Lamar M                                      	              1	     0.183
Lamb A                                       	              1	     0.183
Lambiotte R                                  	              3	     0.548
Lanata JL                                    	              1	     0.183
Landau S                                     	              1	     0.183
Landsberg AS                                 	              1	     0.183
Lane B                                       	              1	     0.183
Lang JC                                      	              2	     0.366
Langville AN                                 	              1	     0.183
Larock T                                     	              1	     0.183
Latapy M                                     	              2	     0.366
Latora V                                     	              1	     0.183
Lawryshyn Y                                  	              1	     0.183
Layne J                                      	              1	     0.183
Lazar ZI                                     	              1	     0.183
Leach C                                      	              1	     0.183
Lee A                                        	              1	     0.183
Lee C                                        	              1	     0.183
Lee HW                                       	              2	     0.366
Lee SH                                       	              3	     0.548
Lee TY                                       	              1	     0.183
Lee V                                        	              1	     0.183
Lees M                                       	              1	     0.183
Leicht EA                                    	              1	     0.183
Lelkes AD                                    	              1	     0.183
Lella E                                      	              1	     0.183
Lenti J                                      	              1	     0.183
Lenzi EK                                     	              1	     0.183
Lerman K                                     	              2	     0.366
Lerner A                                     	              1	     0.183
Lerner J                                     	              2	     0.366
Levens W                                     	              1	     0.183
Levey AI                                     	              1	     0.183
Levinas I                                    	              1	     0.183
Leyffer S                                    	              1	     0.183
Li G                                         	              1	     0.183
Li MY                                        	              1	     0.183
Li XY                                        	              1	     0.183
Li Z                                         	              1	     0.183
Li ZW                                        	              1	     0.183
Li ZY                                        	              1	     0.183
Libertini JM                                 	              1	     0.183
Liljeros F                                   	              1	     0.183
Lilly E                                      	              1	     0.183
Lim S                                        	              1	     0.183
Lin M                                        	              1	     0.183
Lin YC                                       	              1	     0.183
Lin YS                                       	              1	     0.183
Lind B                                       	              1	     0.183
Lint F                                       	              1	     0.183
Lipowski K                                   	              1	     0.183
Lira ES                                      	              1	     0.183
Litvak N                                     	              1	     0.183
Liu CX                                       	              1	     0.183
Liu J                                        	              2	     0.366
Liu JB                                       	              2	     0.366
Liu MC                                       	              1	     0.183
Liu RR                                       	              1	     0.183
Liu S                                        	              2	     0.366
Liu SX                                       	              1	     0.183
Liu X                                        	              1	     0.183
Liu Y                                        	              1	     0.183
Liu YJ                                       	              1	     0.183
Liu YY                                       	              1	     0.183
Liu ZJ                                       	              1	     0.183
Liu ZQ                                       	              1	     0.183
Lizardo O                                    	              1	     0.183
Lo TYY                                       	              1	     0.183
Loach TV                                     	              1	     0.183
Loe CW                                       	              1	     0.183
Logovinsky V                                 	              1	     0.183
Lombardi A                                   	              1	     0.183
Lomi A                                       	              1	     0.183
London A                                     	              2	     0.366
Lopes RJ                                     	              1	     0.183
Lopez OL                                     	              1	     0.183
Lord JL                                      	              1	     0.183
Lotfi D                                      	              1	     0.183
Lotito QF                                    	              2	     0.366
Louzada VHP                                  	              1	     0.183
Louzoun Y                                    	              3	     0.548
Love MN                                      	              1	     0.183
Lowcay C                                     	              1	     0.183
Lozada M                                     	              1	     0.183
Lu PH                                        	              1	     0.183
Lu X                                         	              1	     0.183
Lui JCS                                      	              1	     0.183
Luo QZ                                       	              1	     0.183
Luo XY                                       	              1	     0.183
Luque B                                      	              1	     0.183
Lyzinski V                                   	              1	     0.183
Liò P                                        	              2	     0.366
Louça J                                      	              1	     0.183
Lázár AS                                     	              1	     0.183
Ma J                                         	              1	     0.183
Ma N                                         	              1	     0.183
Ma WD                                        	              1	     0.183
Ma WJ                                        	              1	     0.183
Ma XY                                        	              1	     0.183
Ma ZY                                        	              1	     0.183
Macaluso I                                   	              1	     0.183
Maccarron P                                  	              2	     0.366
Mackay S                                     	              1	     0.183
Mackin S                                     	              1	     0.183
Magallanes JM                                	              1	     0.183
Maggipinto T                                 	              1	     0.183
Magnani M                                    	              1	     0.183
Magnien C                                    	              1	     0.183
Mahmoodi K                                   	              1	     0.183
Maier BF                                     	              1	     0.183
Maillard P                                   	              1	     0.183
Makino KM                                    	              1	     0.183
Makse HA                                     	              1	     0.183
Malhotra D                                   	              1	     0.183
Maliah S                                     	              1	     0.183
Malik N                                      	              2	     0.366
Malizia F                                    	              1	     0.183
Malloy P                                     	              1	     0.183
Mangioni G                                   	              1	     0.183
Mannion S                                    	              2	     0.366
Mantegna RN                                  	              1	     0.183
Mantzaris AV                                 	              1	     0.183
Mantziou A                                   	              1	     0.183
Maoz Z                                       	              1	     0.183
Marchetti N                                  	              1	     0.183
Marhl M                                      	              1	     0.183
Marinho VQ                                   	              2	     0.366
Markovic R                                   	              1	     0.183
Marshall G                                   	              1	     0.183
Marshall GA                                  	              1	     0.183
Marsland S                                   	              1	     0.183
Marson D                                     	              1	     0.183
Martens EA                                   	              1	     0.183
Martin J                                     	              1	     0.183
Martin K                                     	              1	     0.183
Martin KS                                    	              1	     0.183
Martinez W                                   	              1	     0.183
Martins AF                                   	              1	     0.183
Mascarenhas JZG                              	              1	     0.183
Mason SS                                     	              1	     0.183
Massara GP                                   	              1	     0.183
Massaro E                                    	              1	     0.183
Massoglia D                                  	              1	     0.183
Mata AS                                      	              1	     0.183
Mateos JL                                    	              2	     0.366
Mathews D                                    	              1	     0.183
Mathis C                                     	              1	     0.183
Matias C                                     	              1	     0.183
Matthews BR                                  	              1	     0.183
Mcbride N                                    	              1	     0.183
Mccartin C                                   	              1	     0.183
Mcdiarmid C                                  	              1	     0.183
Mcgarry M                                    	              1	     0.183
Medvedev AN                                  	              1	     0.183
Meena SS                                     	              1	     0.183
Meirinhos V                                  	              1	     0.183
Mellor A                                     	              1	     0.183
Memariani A                                  	              1	     0.183
Meng XY                                      	              1	     0.183
Merckle P                                    	              1	     0.183
Mesulam MM                                   	              1	     0.183
Metzler R                                    	              1	     0.183
Meyerhenke H                                 	              1	     0.183
Mezei TR                                     	              1	     0.183
Miasnikof P                                  	              2	     0.366
Micale G                                     	              1	     0.183
Michel J                                     	              1	     0.183
Michielan R                                  	              1	     0.183
Migita T                                     	              1	     0.183
Mihaila BE                                   	              1	     0.183
Milenkovic T                                 	              1	     0.183
Mili F                                       	              2	     0.366
Miller BA                                    	              1	     0.183
Miller BL                                    	              1	     0.183
Miller D                                     	              1	     0.183
Miller DD                                    	              1	     0.183
Miller JC                                    	              2	     0.366
Milzman J                                    	              1	     0.183
Minello G                                    	              2	     0.366
Mintun MA                                    	              1	     0.183
Mintz A                                      	              1	     0.183
Mintzer J                                    	              1	     0.183
Mira A                                       	              1	     0.183
Miranda JGV                                  	              1	     0.183
Miranda RCC                                  	              1	     0.183
Mironov M                                    	              1	     0.183
Misiorek P                                   	              1	     0.183
Mitchell L                                   	              2	     0.366
Mitsis E                                     	              1	     0.183
Mizuno T                                     	              2	     0.366
Mizutaka S                                   	              1	     0.183
Mockel M                                     	              1	     0.183
Mohd-zaid F                                  	              2	     0.366
Mokhlissi R                                  	              1	     0.183
Molontay R                                   	              1	     0.183
Mondal M                                     	              1	     0.183
Monod H                                      	              1	     0.183
Montepietra D                                	              1	     0.183
Montes F                                     	              1	     0.183
Montine T                                    	              1	     0.183
Montresor A                                  	              2	     0.366
Moore AW                                     	              1	     0.183
Moore C                                      	              1	     0.183
Mora A                                       	              1	     0.183
Morales F                                    	              1	     0.183
Moreno Y                                     	              4	     0.731
Morgan K                                     	              1	     0.183
Morini M                                     	              1	     0.183
Morone F                                     	              1	     0.183
Morris J                                     	              1	     0.183
Morris JC                                    	              1	     0.183
Morrison G                                   	              1	     0.183
Moshiri M                                    	              1	     0.183
Moslonka-lefebvre M                          	              1	     0.183
Moura JMF                                    	              2	     0.366
Movassagh R                                  	              1	     0.183
Mozafari M                                   	              1	     0.183
Mucha PJ                                     	              3	     0.548
Muchnik L                                    	              1	     0.183
Mudge B                                      	              1	     0.183
Mukherjee P                                  	              1	     0.183
Mulas R                                      	              1	     0.183
Muldoon SF                                   	              2	     0.366
Mullick P                                    	              1	     0.183
Munic D                                      	              1	     0.183
Murata M                                     	              1	     0.183
Musciotto F                                  	              2	     0.366
Myers DJ                                     	              1	     0.183
Markosová M                                  	              1	     0.183
Martín-hernández J                           	              1	     0.183
Massé PY                                     	              1	     0.183
Molnár K                                     	              1	     0.183
Mondragón RJ                                 	              3	     0.548
Méndez-bermúdez JA                           	              1	     0.183
Möckel M                                     	              1	     0.183
Müller-hannemann M                           	              1	     0.183
Münch F                                      	              1	     0.183
Naaman R                                     	              1	     0.183
Nacher JC                                    	              1	     0.183
Nam KW                                       	              1	     0.183
Nargang S                                    	              2	     0.366
Nauer S                                      	              1	     0.183
Neal ZP                                      	              1	     0.183
Nechaev S                                    	              1	     0.183
Nejad MA                                     	              1	     0.183
Nejad SA                                     	              1	     0.183
Nelson C                                     	              1	     0.183
Nelson MR                                    	              1	     0.183
Nepomuceno EG                                	              1	     0.183
Nettasinghe B                                	              1	     0.183
Neu S                                        	              1	     0.183
Nevin J                                      	              1	     0.183
Newman MEJ                                   	              3	     0.548
Neylan T                                     	              1	     0.183
Nguyen D                                     	              1	     0.183
Nho K                                        	              1	     0.183
Niranjan U                                   	              1	     0.183
Nishimura J                                  	              4	     0.731
Noferini V                                   	              2	     0.366
Noldus R                                     	              1	     0.183
Nollez-goldbach R                            	              1	     0.183
Norbash A                                    	              1	     0.183
Nousiainen M                                 	              1	     0.183
Novikoff T                                   	              1	     0.183
Nozari E                                     	              1	     0.183
Nudelman KN                                  	              1	     0.183
Nunes MG                                     	              1	     0.183
Nunnari G                                    	              1	     0.183
Nurmi T                                      	              1	     0.183
Nussinov Z                                   	              1	     0.183
Nyberg A                                     	              1	     0.183
O'brien JD                                   	              1	     0.183
O'neale DRJ                                  	              1	     0.183
O'sullivan DJP                               	              2	     0.366
Oakle M                                      	              1	     0.183
Oakley M                                     	              1	     0.183
Oates E                                      	              1	     0.183
Obisesan TO                                  	              1	     0.183
Ogrocki P                                    	              1	     0.183
Ogunlana O                                   	              1	     0.183
Okan OB                                      	              1	     0.183
Olgun N                                      	              1	     0.183
Olichney J                                   	              1	     0.183
Olivares-quiroz L                            	              1	     0.183
Oliver A                                     	              1	     0.183
Onaga T                                      	              1	     0.183
Ong E                                        	              1	     0.183
Onnela JP                                    	              4	     0.731
Onyike C                                     	              1	     0.183
Osborn S                                     	              1	     0.183
Oseledets IV                                 	              1	     0.183
Ospina-forero L                              	              3	     0.548
Oswiecimka P                                 	              1	     0.183
Ott BR                                       	              1	     0.183
Ottaviano S                                  	              1	     0.183
Oudre L                                      	              1	     0.183
Ovchinnikov GV                               	              1	     0.183
Owen J                                       	              1	     0.183
Oyonumo NE                                   	              1	     0.183
Ozisik R                                     	              1	     0.183
Pachev B                                     	              1	     0.183
Pacini N                                     	              1	     0.183
Padmore A                                    	              1	     0.183
Pajevic S                                    	              1	     0.183
Pal B                                        	              1	     0.183
Palla G                                      	              2	     0.366
Pammolli F                                   	              1	     0.183
Pan CY                                       	              1	     0.183
Pan F                                        	              1	     0.183
Pankratz B                                   	              2	     0.366
Panzacchi M                                  	              1	     0.183
Papadopoulos L                               	              1	     0.183
Pappu SJ                                     	              1	     0.183
Pardalos PM                                  	              1	     0.183
Parfitt F                                    	              1	     0.183
Parilina E                                   	              1	     0.183
Paris L                                      	              1	     0.183
Park C                                       	              1	     0.183
Park I                                       	              1	     0.183
Parker B                                     	              1	     0.183
Parker E                                     	              1	     0.183
Parsons N                                    	              1	     0.183
Pasqualetti F                                	              1	     0.183
Passino KM                                   	              1	     0.183
Pasta MQ                                     	              1	     0.183
Pasternack S                                 	              1	     0.183
Pasternak S                                  	              1	     0.183
Pasumarthy R                                 	              1	     0.183
Pattathil S                                  	              1	     0.183
Paul S                                       	              1	     0.183
Pauls SD                                     	              1	     0.183
Pavlik V                                     	              1	     0.183
Pavlosky W                                   	              1	     0.183
Pawluczyk S                                  	              1	     0.183
Pearlson GD                                  	              1	     0.183
Peel L                                       	              1	     0.183
Pei S                                        	              1	     0.183
Perc M                                       	              6	     1.097
Pereira CC                                   	              1	     0.183
Pereira LR                                   	              1	     0.183
Pereira WHS                                  	              1	     0.183
Peron T                                      	              1	     0.183
Perry D                                      	              1	     0.183
Peskin ER                                    	              1	     0.183
Petersen R                                   	              1	     0.183
Peterson KD                                  	              1	     0.183
Petrella JR                                  	              1	     0.183
Petrie EC                                    	              1	     0.183
Petrov T                                     	              1	     0.183
Pham T                                       	              1	     0.183
Piccardi C                                   	              1	     0.183
Piccolini M                                  	              1	     0.183
Pichardo-corpus JA                           	              3	     0.548
Pierce A                                     	              1	     0.183
Pinar A                                      	              3	     0.548
Pineda AM                                    	              2	     0.366
Pisani F                                     	              1	     0.183
Pitsoulis L                                  	              1	     0.183
Piva GG                                      	              1	     0.183
Platini T                                    	              1	     0.183
Plenz D                                      	              1	     0.183
Plitzko SJ                                   	              1	     0.183
Podani J                                     	              1	     0.183
Poki-walker K                                	              1	     0.183
Pollner P                                    	              1	     0.183
Polyzos S                                    	              1	     0.183
Pomara N                                     	              1	     0.183
Ponce C                                      	              1	     0.183
Ponomarenko A                                	              1	     0.183
Porfiri M                                    	              1	     0.183
Porsteinsson AP                              	              1	     0.183
Porter MA                                    	             13	     2.377
Porto JA                                     	              1	     0.183
Porto JAM                                    	              2	     0.366
Potkin S                                     	              1	     0.183
Potkin SG                                    	              1	     0.183
Potter W                                     	              1	     0.183
Pralat P                                     	              8	     1.463
Preda A                                      	              1	     0.183
Prokhorenkova L                              	              1	     0.183
Prokhorenkova TLO                            	              1	     0.183
Prouteau T                                   	              1	     0.183
Pulvirenti A                                 	              1	     0.183
Purvine E                                    	              1	     0.183
Puzis R                                      	              2	     0.366
Pyzza PB                                     	              1	     0.183
Páll N                                       	              1	     0.183
Pérennes S                                   	              1	     0.183
Qiao DH                                      	              1	     0.183
Qin YJ                                       	              1	     0.183
Qiu LQ                                       	              1	     0.183
Quevedo FJ                                   	              1	     0.183
Quiceno M                                    	              1	     0.183
Quinn J                                      	              1	     0.183
Rachadi A                                    	              1	     0.183
Rachinsky I                                  	              1	     0.183
Radcliffe M                                  	              1	     0.183
Radicchi F                                   	              1	     0.183
Radivojevic M                                	              1	     0.183
Radulescu A                                  	              1	     0.183
Rahmede C                                    	              1	     0.183
Raichle M                                    	              1	     0.183
Rainka M                                     	              1	     0.183
Raj BA                                       	              1	     0.183
Raj U                                        	              1	     0.183
Raj V                                        	              1	     0.183
Rak R                                        	              1	     0.183
Raman R                                      	              1	     0.183
Ramirez-manzanares A                         	              1	     0.183
Ran L                                        	              1	     0.183
Ravandi B                                    	              2	     0.366
Ravdin L                                     	              1	     0.183
Ray J                                        	              1	     0.183
Reboulet A                                   	              1	     0.183
Rechner S                                    	              1	     0.183
Reddy S                                      	              1	     0.183
Reeder S                                     	              1	     0.183
Reichman DR                                  	              1	     0.183
Reiman EM                                    	              1	     0.183
Reinert G                                    	              5	     0.914
Relkin N                                     	              1	     0.183
Ren ZJ                                       	              1	     0.183
Renjini A                                    	              1	     0.183
Resnick SI                                   	              1	     0.183
Restocchi V                                  	              1	     0.183
Reyes D                                      	              1	     0.183
Reynolds B                                   	              1	     0.183
Reyzin L                                     	              1	     0.183
Rezaeipanah A                                	              1	     0.183
Riascos AP                                   	              2	     0.366
Ribeiro FL                                   	              1	     0.183
Ribeiro HV                                   	              1	     0.183
Ribeiro RB                                   	              1	     0.183
Ricaurte G                                   	              1	     0.183
Riccaboni M                                  	              3	     0.548
Richhardt J                                  	              1	     0.183
Rigterink D                                  	              1	     0.183
Rinaldi F                                    	              1	     0.183
Rio M                                        	              1	     0.183
Riolo MA                                     	              1	     0.183
Ritchie M                                    	              1	     0.183
Rizzo A                                      	              1	     0.183
Robardet C                                   	              3	     0.548
Rocha LEC                                    	              1	     0.183
Rocha LM                                     	              1	     0.183
Rochet P                                     	              1	     0.183
Rodrigues FA                                 	              5	     0.914
Rodriguez R                                  	              1	     0.183
Rogalski E                                   	              1	     0.183
Rogers J                                     	              1	     0.183
Rogers JA                                    	              1	     0.183
Rogers T                                     	              2	     0.366
Roginski JW                                  	              1	     0.183
Rohner C                                     	              1	     0.183
Romance M                                    	              1	     0.183
Romero DM                                    	              1	     0.183
Ronhovde P                                   	              1	     0.183
Rosen A                                      	              1	     0.183
Rosen H                                      	              1	     0.183
Rosen HJ                                     	              1	     0.183
Rosen Y                                      	              1	     0.183
Rossetti G                                   	              2	     0.366
Rossi L                                      	              1	     0.183
Rosvall M                                    	              3	     0.548
Roughan M                                    	              2	     0.366
Rountree S                                   	              1	     0.183
Rozemberczki B                               	              1	     0.183
Rozenblat C                                  	              1	     0.183
Rudolf B                                     	              1	     0.183
Ruffo G                                      	              2	     0.366
Ruggeri N                                    	              1	     0.183
Ruggiero CA                                  	              1	     0.183
Ruiz-manzanares G                            	              1	     0.183
Rusnak LJ                                    	              1	     0.183
Russo G                                      	              1	     0.183
Russo L                                      	              1	     0.183
Ruszczycki B                                 	              1	     0.183
Rodríguez PM                                 	              1	     0.183
Rosell-tarragó G                             	              1	     0.183
Rosário RS                                   	              1	     0.183
Rêgo LC                                      	              1	     0.183
Sabbagh MN                                   	              1	     0.183
Saddy JD                                     	              1	     0.183
Sadowski M                                   	              1	     0.183
Sadowsky C                                   	              1	     0.183
Saerens M                                    	              2	     0.366
Safaei F                                     	              1	     0.183
Safdari H                                    	              1	     0.183
Safro I                                      	              2	     0.366
Sakamoto Y                                   	              2	     0.366
Sakiyama T                                   	              1	     0.183
Salazar J                                    	              1	     0.183
Salazar JD                                   	              1	     0.183
Sallmen S                                    	              1	     0.183
Salloway S                                   	              1	     0.183
Salnikov V                                   	              1	     0.183
Samal A                                      	              1	     0.183
Samani KA                                    	              1	     0.183
Samei Z                                      	              2	     0.366
Samosva E                                    	              1	     0.183
Samuels P                                    	              1	     0.183
Sanders GD                                   	              1	     0.183
Sankararaman S                               	              2	     0.366
Santos SD                                    	              2	     0.366
Santulli RB                                  	              1	     0.183
Sarkar R                                     	              1	     0.183
Sarrael A                                    	              1	     0.183
Sarzynska M                                  	              1	     0.183
Satotani Y                                   	              1	     0.183
Saucan E                                     	              3	     0.548
Sayama H                                     	              2	     0.366
Saykin AJ                                    	              1	     0.183
Scala A                                      	              1	     0.183
Schaeffer SE                                 	              1	     0.183
Scharre DW                                   	              1	     0.183
Schaub MT                                    	              2	     0.366
Scherer K                                    	              1	     0.183
Scherz R                                     	              1	     0.183
Schiavo S                                    	              2	     0.366
Schmera D                                    	              1	     0.183
Schneider LS                                 	              1	     0.183
Schneider S                                  	              1	     0.183
Scholtes I                                   	              1	     0.183
Schuff N                                     	              1	     0.183
Schultz SK                                   	              1	     0.183
Scotognella F                                	              1	     0.183
Scotti M                                     	              1	     0.183
Scoville NA                                  	              1	     0.183
Selakovic S                                  	              1	     0.183
Seltzer M                                    	              1	     0.183
Semeraro A                                   	              1	     0.183
Sen P                                        	              2	     0.366
Senjem M                                     	              1	     0.183
Serra E                                      	              1	     0.183
Seshadhri C                                  	              2	     0.366
Setoodeh P                                   	              1	     0.183
Shaffer E                                    	              1	     0.183
Shah D                                       	              1	     0.183
Shah R                                       	              1	     0.183
Shah RC                                      	              1	     0.183
Shang YL                                     	              1	     0.183
Shani G                                      	              1	     0.183
Shasha D                                     	              1	     0.183
Shaw LM                                      	              1	     0.183
Shea K                                       	              2	     0.366
Sheetz L                                     	              1	     0.183
Sheikh MO                                    	              1	     0.183
Sheikhahmadi A                               	              1	     0.183
Sheikhahmdi A                                	              1	     0.183
Shekatkar SM                                 	              1	     0.183
Shekhtman L                                  	              2	     0.366
Shekhtman LM                                 	              1	     0.183
Shen L                                       	              1	     0.183
Sheridan P                                   	              1	     0.183
Shestopaloff AY                              	              2	     0.366
Shi DD                                       	              1	     0.183
Shi F                                        	              1	     0.183
Shibley V                                    	              1	     0.183
Shim H                                       	              1	     0.183
Shimodaira H                                 	              1	     0.183
Silbert LC                                   	              1	     0.183
Silva FN                                     	              1	     0.183
Silva MEP                                    	              1	     0.183
Silva TC                                     	              1	     0.183
Silverman DH                                 	              1	     0.183
Silwal S                                     	              1	     0.183
Simas T                                      	              1	     0.183
Simmie D                                     	              1	     0.183
Simmons DE                                   	              1	     0.183
Simon K                                      	              1	     0.183
Simon PL                                     	              2	     0.366
Simpson DM                                   	              1	     0.183
Simsek M                                     	              1	     0.183
Simunec I                                    	              1	     0.183
Singer DJ                                    	              1	     0.183
Singh A                                      	              4	     0.731
Singh V                                      	              1	     0.183
Singh YN                                     	              1	     0.183
Singleton-garvin J                           	              1	     0.183
Sink KM                                      	              1	     0.183
Sirrel SA                                    	              1	     0.183
Siuta K                                      	              1	     0.183
Sizemore A                                   	              1	     0.183
Skerman F                                    	              2	     0.366
Skorupka A                                   	              1	     0.183
Skums P                                      	              1	     0.183
Slavinec M                                   	              1	     0.183
Small M                                      	              1	     0.183
Smiljanic J                                  	              2	     0.366
Smith A                                      	              1	     0.183
Smith CD                                     	              1	     0.183
Smith CML                                    	              1	     0.183
Smith DC                                     	              1	     0.183
Smith GM                                     	              1	     0.183
Smith KE                                     	              1	     0.183
Snellman JE                                  	              2	     0.366
Snyder P                                     	              1	     0.183
Snyder PJ                                    	              1	     0.183
Soares GE                                    	              1	     0.183
Sohn Y                                       	              2	     0.366
Sorensen G                                   	              1	     0.183
Soresina C                                   	              1	     0.183
Sosa E                                       	              1	     0.183
Sossi V                                      	              1	     0.183
South T                                      	              1	     0.183
Spann BM                                     	              1	     0.183
Sperling RA                                  	              1	     0.183
Sperry MM                                    	              1	     0.183
Spicer K                                     	              1	     0.183
Spivak DI                                    	              1	     0.183
Springer JA                                  	              2	     0.366
Squartini T                                  	              1	     0.183
Stadler PF                                   	              1	     0.183
Stark S                                      	              1	     0.183
Stefanakis E                                 	              1	     0.183
Stefanovic B                                 	              1	     0.183
Stegehuis C                                  	              4	     0.731
Stein S                                      	              1	     0.183
Stella M                                     	              5	     0.914
Stemler T                                    	              1	     0.183
Stern Y                                      	              1	     0.183
Stoica AA                                    	              1	     0.183
Stolarczyk S                                 	              1	     0.183
Stoyanov ZV                                  	              1	     0.183
Strowick L                                   	              1	     0.183
Subasi O                                     	              1	     0.183
Sulkowska M                                  	              1	     0.183
Sumpter DJT                                  	              1	     0.183
Sun CA                                       	              1	     0.183
Sun J                                        	              2	     0.366
Sun LJ                                       	              1	     0.183
Sun P                                        	              1	     0.183
Sun PF                                       	              1	     0.183
Sun WG                                       	              1	     0.183
Surachawala T                                	              1	     0.183
Sutherland WJ                                	              1	     0.183
Suweis S                                     	              1	     0.183
Suxun W                                      	              1	     0.183
Swapna MS                                    	              1	     0.183
Swerdlow RH                                  	              1	     0.183
Saramäki J                                   	              1	     0.183
Schwarzmüller F                              	              1	     0.183
Surján G                                     	              1	     0.183
Tabak BM                                     	              1	     0.183
Tabourier L                                  	              1	     0.183
Tahir M                                      	              1	     0.183
Tajoli L                                     	              1	     0.183
Takagi K                                     	              1	     0.183
Takahashi DY                                 	              1	     0.183
Takahashi N                                  	              1	     0.183
Tan J                                        	              1	     0.183
Tangaro S                                    	              1	     0.183
Tao RX                                       	              1	     0.183
Taranta M                                    	              1	     0.183
Tarawneh R                                   	              1	     0.183
Tariot P                                     	              1	     0.183
Tarissan F                                   	              1	     0.183
Tatsuoka C                                   	              1	     0.183
Taylor JL                                    	              1	     0.183
Taylor-reinwald L                            	              1	     0.183
Tegner J                                     	              1	     0.183
Telesford QK                                 	              1	     0.183
Teng E                                       	              1	     0.183
Teng SH                                      	              1	     0.183
Tennant AG                                   	              2	     0.366
Teo K                                        	              1	     0.183
Teodoro L                                    	              1	     0.183
Tesic J                                      	              1	     0.183
Testolin A                                   	              1	     0.183
Thai G                                       	              1	     0.183
Thal L                                       	              1	     0.183
Theberge F                                   	              1	     0.183
Thompson P                                   	              1	     0.183
Tian Y                                       	              1	     0.183
Tingus K                                     	              1	     0.183
Tinklenberg J                                	              1	     0.183
Toga AW                                      	              1	     0.183
Tognazzi S                                   	              1	     0.183
Tokekar V                                    	              1	     0.183
Tomassini M                                  	              1	     0.183
Tomasso M                                    	              1	     0.183
Toroczkai Z                                  	              1	     0.183
Torres L                                     	              1	     0.183
Torsello A                                   	              2	     0.366
Toutain TG                                   	              1	     0.183
Toutain TGLD                                 	              2	     0.366
Towlson EK                                   	              1	     0.183
Trajanovski S                                	              1	     0.183
Traverso S                                   	              1	     0.183
Travieso G                                   	              1	     0.183
Tremont G                                    	              1	     0.183
Trncic N                                     	              1	     0.183
Trojanowki JQ                                	              1	     0.183
Trolliet T                                   	              1	     0.183
Trunfio PA                                   	              2	     0.366
Tse CK                                       	              1	     0.183
Tsiotas D                                    	              1	     0.183
Tsoka S                                      	              1	     0.183
Tu LL                                        	              1	     0.183
Tudisco F                                    	              1	     0.183
Turgut D                                     	              1	     0.183
Turner RS                                    	              1	     0.183
Tarancón A                                   	              1	     0.183
Théberge F                                   	              4	     0.731
Turán G                                      	              1	     0.183
Tóth B                                       	              1	     0.183
Ugon J                                       	              1	     0.183
Ulysse A                                     	              1	     0.183
Uribe-leon C                                 	              1	     0.183
Uzzi B                                       	              1	     0.183
Uzzo S                                       	              2	     0.366
Vaiana M                                     	              1	     0.183
Vaishnavi S                                  	              1	     0.183
Valba O                                      	              2	     0.366
Valdez LD                                    	              2	     0.366
Van Der Hofstad R                            	              1	     0.183
Van Der Maas HLJ                             	              1	     0.183
Van Dyck CH                                  	              1	     0.183
Van Lierde H                                 	              1	     0.183
Van Mieghem P                                	              8	     1.463
Van Moorter B                                	              1	     0.183
Vandermarliere B                             	              1	     0.183
Vanderswag H                                 	              1	     0.183
Vangah SJ                                    	              1	     0.183
Vardavas R                                   	              1	     0.183
Vargas FE                                    	              1	     0.183
Varghese C                                   	              1	     0.183
Varma P                                      	              1	     0.183
Varon D                                      	              1	     0.183
Vasaikar SV                                  	              1	     0.183
Vasques D                                    	              1	     0.183
Vasquez JC                                   	              1	     0.183
Vassiliou Y                                  	              1	     0.183
Vazquez A                                    	              1	     0.183
Vecchia I                                    	              1	     0.183
Vega-redondo F                               	              1	     0.183
Veisi F                                      	              2	     0.366
Velcsov MT                                   	              1	     0.183
Velickovic P                                 	              1	     0.183
Vemuri P                                     	              1	     0.183
Ventresca M                                  	              2	     0.366
Venturini S                                  	              1	     0.183
Venturini T                                  	              1	     0.183
Vergu E                                      	              1	     0.183
Vespignani A                                 	              1	     0.183
Vicsek T                                     	              1	     0.183
Vieira AB                                    	              2	     0.366
Vieira AR                                    	              1	     0.183
Viger F                                      	              1	     0.183
Vigliotti MG                                 	              1	     0.183
Villanueva-meyer J                           	              1	     0.183
Villareal-haro JL                            	              1	     0.183
Villas-boas PR                               	              1	     0.183
Villena T                                    	              1	     0.183
Vishveshwara S                               	              1	     0.183
Vodenska I                                   	              2	     0.366
Voevodski K                                  	              1	     0.183
Volpe R                                      	              1	     0.183
Von Der Gracht S                             	              1	     0.183
Valdés V                                     	              1	     0.183
Wacker BW                                    	              1	     0.183
Waldorp L                                    	              1	     0.183
Walker DM                                    	              1	     0.183
Walter S                                     	              1	     0.183
Wang BC                                      	              1	     0.183
Wang C                                       	              1	     0.183
Wang FF                                      	              1	     0.183
Wang HJ                                      	              1	     0.183
Wang J                                       	              1	     0.183
Wang JJ                                      	              2	     0.366
Wang JN                                      	              1	     0.183
Wang JR                                      	              1	     0.183
Wang L                                       	              1	     0.183
Wang MH                                      	              1	     0.183
Wang S                                       	              1	     0.183
Wang TD                                      	              1	     0.183
Wang XY                                      	              1	     0.183
Wang YC                                      	              1	     0.183
Wang YQ                                      	              1	     0.183
Wang YS                                      	              1	     0.183
Ward C                                       	              1	     0.183
Webb B                                       	              1	     0.183
Webb BZ                                      	              1	     0.183
Weber M                                      	              2	     0.366
Weedage L                                    	              1	     0.183
