Authors                                      	   Record Count	         % of 547
Chowdhary K                                  	              1	     0.183
Chowdhury M                                  	              1	     0.183
Chowell G                                    	              1	     0.183
Chuzhanova N                                 	              1	     0.183
Cinelli M                                    	              2	     0.366
Cinti C                                      	              1	     0.183
Ciocchetta F                                 	              1	     0.183
Cirkovic D                                   	              1	     0.183
Clark CM                                     	              1	     0.183
Clark D                                      	              1	     0.183
Clauset A                                    	              1	     0.183
Clegg RG                                     	              1	     0.183
Clough JR                                    	              1	     0.183
Cohen K                                      	              1	     0.183
Cohen N                                      	              1	     0.183
Cointet JP                                   	              1	     0.183
Coleman E                                    	              1	     0.183
Como G                                       	              1	     0.183
Conrad G                                     	              1	     0.183
Contisciani M                                	              2	     0.366
Contreras JG                                 	              1	     0.183
Contreras-aso G                              	              1	     0.183
Coon JP                                      	              2	     0.366
Coppes D                                     	              1	     0.183
Correia RB                                   	              1	     0.183
Correia S                                    	              1	     0.183
Corso A                                      	              1	     0.183
Coscia M                                     	              1	     0.183
Costa A                                      	              1	     0.183
Costa LD                                     	              2	     0.366
Cotilla-sanchez E                            	              1	     0.183
Cotter J                                     	              1	     0.183
Courtain S                                   	              1	     0.183
Cozzo E                                      	              1	     0.183
Cramer C                                     	              2	     0.366
Crawford K                                   	              1	     0.183
Creech ML                                    	              1	     0.183
Criado R                                     	              1	     0.183
Cristofari A                                 	              1	     0.183
Croft DP                                     	              1	     0.183
Crofts JJ                                    	              1	     0.183
Croix JC                                     	              1	     0.183
Crutchfield JP                               	              1	     0.183
Csermely P                                   	              1	     0.183
Cucuringu M                                  	              2	     0.366
Cunningham P                                 	              1	     0.183
Corrêa DC                                    	              1	     0.183
Cortés J                                     	              1	     0.183
D'adamo P                                    	              1	     0.183
D'agostino D                                 	              1	     0.183
D'mello S                                    	              1	     0.183
D'souza RM                                   	              1	     0.183
Da Cunha BR                                  	              1	     0.183
Daidone I                                    	              2	     0.366
Daiello LA                                   	              1	     0.183
Dalege J                                     	              1	     0.183
Dang MM                                      	              1	     0.183
Daniels KE                                   	              1	     0.183
Danziger MM                                  	              1	     0.183
Daolio F                                     	              1	     0.183
Darst RK                                     	              1	     0.183
Dasgupta B                                   	              1	     0.183
Datta A                                      	              1	     0.183
Davies P                                     	              1	     0.183
De Arruda GF                                 	              1	     0.183
De Arruda HF                                 	              1	     0.183
De Bacco C                                   	              2	     0.366
De Domenico M                                	              3	     0.548
De Gruttola V                                	              1	     0.183
De Kemmeter JF                               	              1	     0.183
De Moraes KL                                 	              1	     0.183
De Pellegrini F                              	              1	     0.183
De Souza ACM                                 	              1	     0.183
De Souza SRS                                 	              1	     0.183
De Sterck H                                  	              2	     0.366
Deane CM                                     	              3	     0.548
Debnath J                                    	              1	     0.183
Decarli C                                    	              1	     0.183
Deckro RF                                    	              2	     0.366
Deford DR                                    	              1	     0.183
Dehghan A                                    	              1	     0.183
Dehghan-kooshkghazi A                        	              1	     0.183
Delvenne JC                                  	              7	     1.280
Demarco K                                    	              1	     0.183
Derrible S                                   	              1	     0.183
Dettmann CP                                  	              1	     0.183
Devriendt K                                  	              1	     0.183
Dewar J                                      	              1	     0.183
Di Gaetano L                                 	              1	     0.183
Di Lauro F                                   	              1	     0.183
