Document Type,Authors,Title,Journal,Year,Citations,Keywords,DOI,Affiliations,References
J,"['Wilson, JD']",Analysis of population functional connectivity data via multilayer,NETWORK SCIENCE,2021,10,"['multilayer networks; network embedding; node2vec; Skip-gram; functional', 'WEB (WWW 2015), P1067, DOI 10.1145/2736277.2741093', 'RESTING-STATE NETWORKS; SCALE BRAIN NETWORKS; DYNAMIC RECONFIGURATION;']",10.1017/nws.2020.39,"['Wilson, JD (corresponding author), Univ San Francisco, Dept Math & Stat, San Francisco, CA 94117 USA.; Wilson, JD (corresponding author), Univ San Francisco, Data Inst, San Francisco, CA 94117 USA.']","['Achard S, 2006, J NEUROSCI, V26, P63, DOI 10.1523/JNEUROSCI.3874-05.2006']"
J,"['Yin, H']",Measuring directed triadic closure with closure coefficients,NETWORK SCIENCE,2020,10,"['directed networks; triadic closure; closure coefficients; configuration', 'WEB, P499, DOI 10.1145/2567948.2576940', 'NETWORKS; DYNAMICS; MODELS']",10.1017/nws.2020.20,"['Ugander, J (corresponding author), Stanford Univ, Dept Management Sci & Engn, Stanford, CA USA.']","['Ahnert SE, 2008, PHYS REV E, V78, DOI 10.1103/PhysRevE.78.036112', 'DAT D']"
J,"['Charbey, R']","Stars, holes, or paths across your Facebook friends: A graphlet-based",NETWORK SCIENCE,2019,10,"['graphlets; ego networks; big Data', ""WEB (WWW'17), P1431, DOI 10.1145/3038912.3052597""]",10.1017/nws.2019.20,"['Charbey, R (corresponding author), IMT Atlantique, Dept LUSSI, Lab STICC, UMR CNRS 6285, F-29238 Brest, France.']","['Ali W, 2014, BIOINFORMATICS, V30, pI430, DOI 10.1093/bioinformatics/btu447']"
J,"['Barnett, I']",EndNote: Feature-based classification of networks,NETWORK SCIENCE,2019,10,"['social and biological networks; network classification; random forest', 'GRAPH KERNELS']",10.1017/nws.2019.21,"['Barnett, I (corresponding author), Univ Penn, Dept Biostat, Philadelphia, PA 19104 USA.; Malik, N (corresponding author), Rochester Inst Technol, Math Sci, Rochester, NY 14623 USA.']","['[Anonymous], 2016, ARXIV160505273']"
J,"['Rastelli, R']",Choosing the number of groups in a latent stochastic blockmodel for,NETWORK SCIENCE,2018,10,"['stochastic blockmodels; dynamic networks; greedy optimization; Bayesian', 'MIXTURE MODEL; EXTENSION']",10.1017/nws.2018.19,"['Rastelli, R (corresponding author), Univ Coll Dublin, Sch Math & Stat, Dublin, Ireland.']","['Airoldi EM, 2008, J MACH LEARN RES, V9, P1981']"
J,"['Nordlund, C']",Power-relational core-periphery structures: Peripheral dependency and,NETWORK SCIENCE,2018,10,"['core-periphery; history of ideas; economic history; peripheral', 'STUD', 'WORLD; MODELS; SYSTEM']",10.1017/nws.2018.15,"['Nordlund, C (corresponding author), Linkoping Univ, Inst Analyt Sociol, S-60174 Norrkoping, Sweden.; Nordlund, C (corresponding author), Cent European Univ, Dept Network & Data Sci, Nador U 9, H-1051 Budapest, Hungary.; Nordlund, C (corresponding author), Lund Univ, Dept Econ Hist, Box 7080, S-22007 Lund, Sweden.']","['Amin Samir., 1976, UNEQUAL DEV ESSAY SO']"
J,"['Magnani, M']",Introduction to the special issue on multilayer networks,NETWORK SCIENCE,2017,10,['MULTIPLEXITY'],10.1017/nws.2017.15,"['Magnani, M (corresponding author), Uppsala Univ, Comp Sci Div, IT Dept, Uppsala, Sweden.']","['[Anonymous], APPL NETWORK ANAL']"
J,"['Lagesse, C']",A spatial multi-scale object to analyze road networks,NETWORK SCIENCE,2015,10,"['road network; graph theory; spatial analysis; city modeling;', 'URBAN; EVOLUTION']",10.1017/nws.2015.4,"['Lagesse, C (corresponding author), Univ Paris Diderot, Sorbonne Paris Cite, MSC, UMR 7057, Paris, France.']","['Albert R, 2002, REV MOD PHYS, V74, P47, DOI 10.1103/RevModPhys.74.47']"
J,"['Guex, G']",Randomized optimal transport on a graph: framework and new distance,NETWORK SCIENCE,OPTIMIZATION,9,"['network science; optimal transportation; bag-of-paths; randomized', 'INFORMATION; MATRICES']",10.1017/nws.2018.29,"['Guex, G (corresponding author), Catholic Univ Louvain, ICTEAM, Louvain La Neuve, Belgium.']","['Ahuja RK., 1993, Network Flows: Theory, Algorithms, and Applications', 'ACAD SCI URSS, V37, P199']"
J,"['Holme, P']",Impact of misinformation in temporal network epidemiology,NETWORK SCIENCE,2019,9,"['computational epidemiology; network science; complex networks', 'DYNAMICS; COMMUNICATION; PATTERNS; BEHAVIOR']",10.1017/nws.2018.28,"['Holme, P (corresponding author), Tokyo Inst Technol, Inst Innovat Res, Tokyo, Japan.']","['Adams J, 2007, SOC NETWORKS, V29, P44, DOI 10.1016/j.socnet.2005.11.009']"
J,"['Betancourt, N']",The perception of status: How we infer the status of others from their,NETWORK SCIENCE,2018,9,"['social status; social hierarchy; network cognition; network perception;', 'DOMINANCE; POWER; PRESTIGE; REPRESENTATION; CONSEQUENCES; HIERARCHY;']",10.1017/nws.2018.13,"['Betancourt, N (corresponding author), Univ Amsterdam, Amsterdam, Netherlands.']","['Anderson C, 2015, PSYCHOL BULL, V141, P574, DOI 10.1037/a0038781']"
J,"['Moody, J']",Epidemic potential by sexual activity distributions,NETWORK SCIENCE,2017,9,"['sexually transmitted infections; degree distributions; simulation;', 'CONCURRENT PARTNERSHIPS; HIV; TRANSMISSION; SPREAD; COHESION; NETWORKS;']",10.1017/nws.2017.3,"['Moody, J (corresponding author), Duke Univ, Dept Sociol, Durham, NC 27706 USA.; Moody, J (corresponding author), King Abdulaziz Univ, Dept Sociol, Jedda, Saudi Arabia.']","['Adams J, 2013, AM J PUBLIC HEALTH, V103, P322, DOI 10.2105/AJPH.2012.300908']"
J,"['Ryan, C']",Bayesian model selection for the latent position cluster model for,NETWORK SCIENCE,2017,9,"['collapsed latent position cluster model; reversible jump Markov chain', 'UNKNOWN NUMBER; INFERENCE; MIXTURES']",10.1017/nws.2017.6,"['Ryan, C (corresponding author), Univ Limerick, Dept Math & Stat, Limerick, Ireland.']","['Adamic LA, 2001, PHYS REV E, V64, DOI 10.1103/PhysRevE.64.046135']"
B,"['Barabási, AL']",The Scale-Free Property,NETWORK SCIENCE,2016,9,[],,"['Barabási, AL (corresponding author), Northeastern Univ, Network Sci, Boston, MA 02115 USA.; Barabási, AL (corresponding author), Northeastern Univ, Ctr Complex Network Res, Boston, MA 02115 USA.; Barabási, AL (corresponding author), Harvard Med Sch, Boston, MA 02115 USA.; Barabási, AL (corresponding author), Cent European Univ, Budapest, Hungary.']",[]
J,"['Brunson, JC']",Triadic analysis of affiliation networks,NETWORK SCIENCE,2015,9,"['affiliation networks; triadic closure; triad census; clustering', 'COLLABORATION; TRANSITIVITY']",10.1017/nws.2015.38,"['Brunson, JC (corresponding author), UConn Hlth, Ctr Quantitat Med, Farmington, CT 06030 USA.']","['ALTMAN DG, 1983, J ROY STAT SOC D-STA, V32, P307, DOI 10.2307/2987937']"
J,"['Wit, E']",Factorial graphical models for dynamic networks,NETWORK SCIENCE,2015,9,"['constrained optimization; dynamic networks; Gaussian graphical models;', 'COVARIANCE ESTIMATION; VARIABLE SELECTION; LASSO; LIKELIHOOD']",10.1017/nws.2015.2,"['Wit, E (corresponding author), Univ Groningen, Johann Bernoulli Inst, NL-9747 AG Groningen, Netherlands.']","['Banerjee O, 2008, J MACH LEARN RES, V9, P485']"
J,"['Bell, JR']",Subgroup centrality measures,NETWORK SCIENCE,2014,9,"['centrality; attribute subgroups; centralization', 'NETWORKS']",10.1017/nws.2014.15,"['Bell, JR (corresponding author), United State Mil Acad, Dept Math Sci, West Point, NY 10996 USA.']","['[Anonymous], 2006, SOC NETWORKS, DOI DOI 10.1016/j.socnet.2005.11.005']"
J,"['Lugo-Martinez, J']",\Generalized graphlet kernels for probabilistic inference in sparse,NETWORK SCIENCE,2014,9,"['graph kernels; vertex classification; graph edit distance', 'PROTEIN FUNCTION; FUNCTIONAL RESIDUES; STRING KERNELS; PREDICTION;']",10.1017/nws.2014.14,"['Lugo-Martinez, J (corresponding author), Indiana Univ, Dept Comp Sci & Informat, Bloomington, IN 47405 USA.']","['Adamic L. A., 2005, LINKKDD 05 P 3 INT W, P36, DOI [DOI 10.1145/1134271.1134277, 10.1145/1134271.1134277]']"
J,"['Butts, CT']",Relational eventmodels in network science INTRODUCTION,NETWORK SCIENCE,2023,8,"['network models; network data; relational event models; social', 'PATIENT-TRANSFERS; TEMPORAL DYNAMICS; EVENT MODELS; TIME']",10.1017/nws.2023.9,"['Stadtfeld, C (corresponding author), Swiss Fed Inst Technol, Social Networks Lab, Zurich, Switzerland.']","['Amati V, 2019, SOC NETWORKS, V57, P18, DOI 10.1016/j.socnet.2018.10.001']"
J,"['Lerner, J']",Micro-level network dynamics of scientific collaboration and impact:,NETWORK SCIENCE,2023,8,['scientific networks; co-authoring networks; statistical network models;'],"grant, code","['Lerner, J (corresponding author), Univ Konstanz, Constance, Germany.; Lerner, J (corresponding author), Rhein Westfal TH Aachen, Aachen, Germany.']","['Ahmadpoor M., 2019, P NATL ACAD SCI USA']"
J,"['Gallop, M']",A network approach to measuring state preferences,NETWORK SCIENCE,2021,8,"['international relations; state preferences; measurement; multilayer', 'SIMILARITY; ALLIANCES; CONFLICT; ORIGINS; MODELS']",10.1017/nws.2020.44,"['Minhas, S (corresponding author), Michigan State Univ, Dept Polit Sci, E Lansing, MI 48824 USA.']","['Airoldi EM, 2008, J MACH LEARN RES, V9, P1981']"
J,"['Xu, R']",Sensitivity analysis for network observations with applications to,NETWORK SCIENCE,2021,8,"['sensitivity analysis; network observations; selection mechanisms; social', 'P-ASTERISK MODELS; INFORMANT ACCURACY; MISSING DATA; CONTAGION;']",10.1017/nws.2020.36,"['Xu, R (corresponding author), Univ Connecticut, Dept Allied Hlth Sci, Storrs, CT 06269 USA.']","['An WH, 2015, SOC SCI RES, V50, P382, DOI 10.1016/j.ssresearch.2014.08.011']"
J,"['Spricer, K']",An SIR epidemic on a weighted network,NETWORK SCIENCE,2019,8,"['epidemics; basic reproduction number; weighted graph; configuration', 'RANDOM GRAPHS; MODEL']",10.1017/nws.2019.54,"['Spricer, K (corresponding author), Stockholm Univ, Dept Math, S-10691 Stockholm, Sweden.']","['Adamic LA, 2000, SCIENCE, V287, DOI 10.1126/science.287.5461.2115a', 'MOD, P8']"
