Affiliations                                 	   Record Count	         % of 301
POLYTECHNIC UNIVERSITY OF MILAN              	              2	     0.664
POLYTECHNIC UNIVERSITY OF TURIN              	              1	     0.332
POZNAN UNIVERSITY OF ECONOMICS BUSINESS      	              1	     0.332
PRINCETON UNIVERSITY                         	              2	     0.664
PUBLIC HEALTH ENGLAND                        	              1	     0.332
PURDUE UNIVERSITY                            	              3	     0.997
PURDUE UNIVERSITY SYSTEM                     	              3	     0.997
QATAR FOUNDATION QF                          	              1	     0.332
QUEENS UNIVERSITY BELFAST                    	              4	     1.329
QUEENS UNIVERSITY CANADA                     	              1	     0.332
RADBOUD UNIVERSITY NIJMEGEN                  	              2	     0.664
RAND CORPORATION                             	              1	     0.332
RANGAPARA COLL                               	              1	     0.332
REICHMAN UNIVERSITY                          	              1	     0.332
RESEARCH INSTITUTE OF INDUSTRIAL ECONOMICS IF	              1	     0.332
N                                            	               	          
RESEARCH ORGANIZATION OF INFORMATION SYSTEMS 	              1	     0.332
ROIS                                         	               	          
RIETI                                        	              1	     0.332
ROBERT KOCH INSTITUTE                        	              1	     0.332
ROCHESTER INSTITUTE OF TECHNOLOGY            	              2	     0.664
ROSE HULMAN INSTITUTE TECHNOLOGY             	              1	     0.332
RUSSIAN ACADEMY OF SCIENCES                  	              1	     0.332
RWTH AACHEN UNIVERSITY                       	              1	     0.332
SANTE PUBLIQUE FRANCE                        	              1	     0.332
SCUOLA SUPERIORE SANT ANNA                   	              2	     0.664
SECHENOV FIRST MOSCOW STATE MEDICAL UNIVERSIT	              1	     0.332
Y                                            	               	          
SECURE BUSINESS AUSTRIA RES CTR SBA          	              1	     0.332
SEOUL NATIONAL UNIVERSITY SNU                	              1	     0.332
SINGAPORE UNIVERSITY OF TECHNOLOGY DESIGN    	              2	     0.664
SMITH COLLEGE                                	              1	     0.332
SORBONNE PARIS CITE                          	              1	     0.332
SORBONNE UNIVERSITE                          	              2	     0.664
SOUTHERN ILLINOIS UNIVERSITY                 	              1	     0.332
SOUTHERN ILLINOIS UNIVERSITY SYSTEM          	              1	     0.332
STANFORD UNIVERSITY                          	              5	     1.661
STATE UNIVERSITY SYSTEM OF FLORIDA           	              4	     1.329
STELLENBOSCH UNIVERSITY                      	              1	     0.332
STEVENS INSTITUTE OF TECHNOLOGY              	              1	     0.332
STOCKHOLM UNIVERSITY                         	              4	     1.329
SWISS FEDERAL INSTITUTE OF AQUATIC SCIENCE TE	              1	     0.332
CHNOLOGY EAWAG                               	               	          
SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN	              9	     2.990
SWISS NATIONAL BANK SNB                      	              1	     0.332
SYSCO CORP                                   	              1	     0.332
TAMPERE UNIVERSITY                           	              1	     0.332
TECHNICAL UNIVERSITY OF BERLIN               	              3	     0.997
TECHNICAL UNIVERSITY OF DENMARK              	              2	     0.664
TECHNICAL UNIVERSITY OF MUNICH               	              2	     0.664
TEHRAN UNIVERSITY OF MEDICAL SCIENCES        	              1	     0.332
TELECOM PARIS                                	              1	     0.332
TEMPLE UNIVERSITY                            	              2	     0.664
THE SANTA FE INSTITUTE                       	              4	     1.329
TILBURG UNIVERSITY                           	              2	     0.664
TOKYO INSTITUTE OF TECHNOLOGY                	              1	     0.332
TORONTO METROPOLITAN UNIVERSITY              	              3	     0.997
TRILLIUM HEALTH PARTNERS                     	              1	     0.332
TRINITY COLLEGE DUBLIN                       	              3	     0.997
TUTTE INST MATH COMP                         	              2	     0.664
UCONN HLTH                                   	              1	     0.332
UNITED STATES ARMY                           	              3	     0.997
UNITED STATES DEPARTMENT OF DEFENSE          	              5	     1.661
UNITED STATES DEPARTMENT OF ENERGY DOE       	              1	     0.332
UNITED STATES MILITARY ACADEMY               	              1	     0.332
UNIV NOTRE DAME TANTUR                       	              3	     0.997
UNIV PARIS 1 PANTHEON SORBONNE               	              1	     0.332
UNIV PARIS EST                               	              1	     0.332
UNIV ZURICH                                  	              1	     0.332
UNIVERSIDAD AUTONOMA DE AGUASCALIENTES       	              1	     0.332
UNIVERSIDAD DE LOS ANDES COLOMBIA            	              1	     0.332
UNIVERSIDAD DE PIURA                         	              1	     0.332
UNIVERSIDAD MANUELA BELTRAN UMB              	              1	     0.332
UNIVERSIDAD NACIONAL DE COLOMBIA             	              1	     0.332
UNIVERSIDADE DE LISBOA                       	              2	     0.664
UNIVERSIDADE DE SAO PAULO                    	              1	     0.332
UNIVERSIDADE DO ALGARVE                      	              1	     0.332
UNIVERSIDADE DO PORTO                        	              1	     0.332
UNIVERSIDADE FEDERAL DE ALFENAS              	              1	     0.332
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO       	              2	     0.664
UNIVERSIDADE PORTUCALENSE INFANTE D HENRIQUE 	              1	     0.332
UNIVERSITA DELLA SVIZZERA ITALIANA           	              5	     1.661
UNIVERSITAT ROVIRA I VIRGILI                 	              1	     0.332
UNIVERSITE CATHOLIQUE LOUVAIN                	              4	     1.329
UNIVERSITE COTE D AZUR                       	              3	     0.997
UNIVERSITE DE BOURGOGNE                      	              2	     0.664
UNIVERSITE DE BRETAGNE OCCIDENTALE           	              2	     0.664
UNIVERSITE DE LORRAINE                       	              1	     0.332
UNIVERSITE DE MONTPELLIER                    	              1	     0.332
UNIVERSITE DE TOULON                         	              1	     0.332
UNIVERSITE LIBRE DE BRUXELLES                	              1	     0.332
UNIVERSITE PARIS CITE                        	              3	     0.997
UNIVERSITE PARIS PANTHEON ASSAS              	              1	     0.332
UNIVERSITY COLLEGE DUBLIN                    	              7	     2.326
UNIVERSITY COLLEGE LONDON                    	              2	     0.664
UNIVERSITY OF ALABAMA SYSTEM                 	              1	     0.332
UNIVERSITY OF ALABAMA TUSCALOOSA             	              1	     0.332
UNIVERSITY OF AMSTERDAM                      	              3	     0.997
UNIVERSITY OF ARIZONA                        	              2	     0.664
UNIVERSITY OF BASQUE COUNTRY                 	              1	     0.332
UNIVERSITY OF BERGAMO                        	              1	     0.332
UNIVERSITY OF BERN                           	              1	     0.332
UNIVERSITY OF BREMEN                         	              2	     0.664
UNIVERSITY OF BUCHAREST                      	              1	     0.332
UNIVERSITY OF CALABRIA                       	              1	     0.332
