Affiliations                                 	   Record Count	       % of 1,557
STON                                         	               	          
UNIVERSITY OF VIRGINIA                       	              4	     0.257
UTAH SYSTEM OF HIGHER EDUCATION              	              4	     0.257
WASHINGTON STATE UNIVERSITY                  	              4	     0.257
YORK UNIVERSITY CANADA                       	              4	     0.257
ARIZONA STATE UNIVERSITY DOWNTOWN PHOENIX    	              3	     0.193
AUBURN UNIVERSITY                            	              3	     0.193
AUBURN UNIVERSITY SYSTEM                     	              3	     0.193
AUTONOMOUS UNIVERSITY OF MADRID              	              3	     0.193
BAR ILAN UNIVERSITY                          	              3	     0.193
BEN GURION UNIVERSITY                        	              3	     0.193
CENTRAL EUROPEAN UNIVERSITY                  	              3	     0.193
CITY ST GEORGES UNIVERSITY OF LONDON         	              3	     0.193
CITY UNIVERSITY OF LONDON                    	              3	     0.193
CNRS INSTITUTE FOR HUMANITIES SOCIAL SCIENCES	              3	     0.193
INSHS                                        	               	          
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFIC	              3	     0.193
AS CSIC                                      	               	          
CONSIGLIO NAZIONALE DELLE RICERCHE CNR       	              3	     0.193
COPENHAGEN BUSINESS SCHOOL                   	              3	     0.193
DUQUESNE UNIVERSITY                          	              3	     0.193
FREE UNIVERSITY OF BERLIN                    	              3	     0.193
HEWLETT PACKARD                              	              3	     0.193
INSTITUT D ETUDES POLITIQUES PARIS SCIENCES P	              3	     0.193
O                                            	               	          
JAMES COOK UNIVERSITY                        	              3	     0.193
KAROLINSKA INSTITUTET                        	              3	     0.193
KOZMINSKI UNIVERSITY                         	              3	     0.193
KU LEUVEN                                    	              3	     0.193
LOS ALAMOS NATIONAL LABORATORY               	              3	     0.193
MACQUARIE UNIVERSITY                         	              3	     0.193
MANCHESTER METROPOLITAN UNIVERSITY           	              3	     0.193
MCGILL UNIVERSITY                            	              3	     0.193
NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY CHI	              3	     0.193
NA                                           	               	          
NAVAL POSTGRADUATE SCHOOL                    	              3	     0.193
NETHERLANDS DEF ACAD                         	              3	     0.193
OTTO FRIEDRICH UNIVERSITY BAMBERG            	              3	     0.193
POLYTECHNIC UNIVERSITY OF MILAN              	              3	     0.193
PURDUE UNIVERSITY                            	              3	     0.193
PURDUE UNIVERSITY SYSTEM                     	              3	     0.193
