Affiliations                                 	   Record Count	       % of 1,557
BOGAZICI UNIVERSITY                          	              1	     0.064
BOSTON CHILDREN S HOSPITAL                   	              1	     0.064
BREMEN INT GRAD SCH SOCIAL SCI BIGSSS        	              1	     0.064
BRIGHAM YOUNG UNIVERSITY                     	              1	     0.064
BRITISH UNIVERSITY IN EGYPT                  	              1	     0.064
BUDAPEST UNIVERSITY OF TECHNOLOGY ECONOMICS  	              1	     0.064
BURNET INSTITUTE                             	              1	     0.064
CALIFORNIA STATE UNIVERSITY CHANNEL ISLANDS  	              1	     0.064
CALIFORNIA STATE UNIVERSITY NORTHRIDGE       	              1	     0.064
CAMPUS UNIV AUTANOMA BARCELONA               	              1	     0.064
CANADIAN COLLOBORATING CTR                   	              1	     0.064
CASE WESTERN RESERVE UNIVERSITY              	              1	     0.064
CEA                                          	              1	     0.064
CENTRAL SOUTH UNIVERSITY                     	              1	     0.064
CENTRE FOR ECONOMIC POLICY RESEARCH UK       	              1	     0.064
CHA                                          	              1	     0.064
CHANGE ARIZONA STATE UNIV                    	              1	     0.064
CHILDREN S HOSPITAL COLORADO                 	              1	     0.064
CHILDRENS HEALTH QUEENSLAND HOSPITAL HEALTH S	              1	     0.064
ERVICE                                       	               	          
CHUNG YUAN CHRISTIAN UNIVERSITY              	              1	     0.064
CHUO UNIVERSITY                              	              1	     0.064
CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE   	              1	     0.064
CNRS INSTITUTE OF PHYSICS INP                	              1	     0.064
CNRS MAEE HU                                 	              1	     0.064
COLL LYON                                    	              1	     0.064
COLLEGE OF ENGINEERING TRIVANDRUM            	              1	     0.064
COLLEGE OF STATEN ISLAND CUNY                	              1	     0.064
COLLEGIO CARLO ALBERTO                       	              1	     0.064
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH O	              1	     0.064
RGANISATION CSIRO                            	               	          
COMMUNAUTE UNIVERSITE GRENOBLE ALPES         	              1	     0.064
COMPLEX LAB ECON                             	              1	     0.064
COMPLUTENSE UNIVERSITY OF MADRID             	              1	     0.064
COVERMYMEDS                                  	              1	     0.064
CREIGHTON UNIVERSITY                         	              1	     0.064
CSIC INSTITUT D ANALISI ECONOMICA IAE        	              1	     0.064
CSO                                          	              1	     0.064
CSO CNRS                                     	              1	     0.064
CTR ADDICT RECOVERY                          	              1	     0.064
CTR ANAL MATH SOCIALES CNRS EHESS            	              1	     0.064
CTR BEHAV RES                                	              1	     0.064
CTR MARC BLOCH CNRS HU                       	              1	     0.064
CTR SUCCESS INDEPENDENCE                     	              1	     0.064
CTU                                          	              1	     0.064
DALHOUSIE UNIVERSITY                         	              1	     0.064
DALIAN UNIVERSITY OF TECHNOLOGY              	              1	     0.064
DARTMOUTH COLLEGE                            	              1	     0.064
DEFENCE AUSTRALIA                            	              1	     0.064
DENISON UNIVERSITY                           	              1	     0.064
DEPT CHILD YOUTH PSYCHIAT                    	              1	     0.064
DEPT CIVIL COMP SCI AERONAUT TECHNOL ENGN    	              1	     0.064
DEPT CULTURAL GEOG                           	              1	     0.064
DEPT MANAGEMENT                              	              1	     0.064
DEPT POLIT ECON                              	              1	     0.064
DEPT SCI DYNAM                               	              1	     0.064
DEUTSCH JUGENDINST                           	              1	     0.064
DIEGO STATE UNIV                             	              1	     0.064
DIPARTIMENTO INGN INFORMAZ                   	              1	     0.064
DIPARTIMENTO SCI SOCIALI                     	              1	     0.064
DIW BERLIN DEUTSCHES INSTITUT FUR WIRTSCHAFTS	              1	     0.064
FORSCHUNG                                    	               	          
DLR PROJECT MANAGEMENT AGCY                  	              1	     0.064
DON RONCHI ORG CONSULTAT                     	              1	     0.064
DONGBEI UNIVERSITY OF FINANCE ECONOMICS      	              1	     0.064
DREAM SCI FACTORY                            	              1	     0.064
DREXEL UNIVERSITY                            	              1	     0.064
DST GRP EDINBURGH                            	              1	     0.064
DURHAM UNIVERSITY                            	              1	     0.064
ECO ECO LTD                                  	              1	     0.064
ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES 	              1	     0.064
EHESS                                        	               	          
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE     	              1	     0.064
EDINBURGH NAPIER UNIVERSITY                  	              1	     0.064
EDUCATION DEVELOPMENT CENTER EDC             	              1	     0.064
EDUCATIONAL TESTING SERVICE ETS              	              1	     0.064
EGYPTIAN KNOWLEDGE BANK EKB                  	              1	     0.064
EHESS                                        	              1	     0.064
EIEF                                         	              1	     0.064
EL PASO CTY DEPT HLTH ENVIRONM               	              1	     0.064
ENSAE PARIS                                  	              1	     0.064
ERASMUS MC                                   	              1	     0.064
ESCUELA SUPERIOR DE ADMINISTRACION Y DIRECCIO	              1	     0.064
N DE EMPRESAS ESADE                          	               	          
EUROPEAN INVESTMENT BANK                     	              1	     0.064
EUROPEAN SCHOOL OF MANAGEMENT TECHNOLOGY     	              1	     0.064
EUROPEAN UNIVERSITY INSTITUTE                	              1	     0.064
FAC ECON EMPRESA                             	              1	     0.064
FAC TOURISM                                  	              1	     0.064
FACHHSCH POTSDAM                             	              1	     0.064
FED EMPLOYMENT AGCY BA                       	              1	     0.064
FELLOWS STAT                                 	              1	     0.064
FERDOWSI UNIVERSITY MASHHAD                  	              1	     0.064
FONTYS UNIV APPL SCI                         	              1	     0.064
FRENCH INST DEMOG STUDIES INED               	              1	     0.064
FRENCH INST PONDICHERRY IFP                  	              1	     0.064
FU JEN CATHOLIC UNIVERSITY                   	              1	     0.064
GALAXYADVISORS AG                            	              1	     0.064
GECS RES GRP EXPT COMPUTAT SOCIOL            	              1	     0.064
GEOG SCI DEPT                                	              1	     0.064
GEORGETOWN UNIVERSITY                        	              1	     0.064
GEORGIA SOUTHERN UNIVERSITY                  	              1	     0.064
GETULIO VARGAS FOUNDATION                    	              1	     0.064
GOETHE UNIVERSITY FRANKFURT                  	              1	     0.064
GRAD INST GENEVA                             	              1	     0.064
GRIFFITH UNIVERSITY                          	              1	     0.064
GRODNO STATE UNIV                            	              1	     0.064
HAMAD BIN KHALIFA UNIVERSITY QATAR           	              1	     0.064
HANKEN SCHOOL OF ECONOMICS                   	              1	     0.064
HARVARD T H CHAN SCHOOL OF PUBLIC HEALTH     	              1	     0.064
HAWASSA UNIVERSITY                           	              1	     0.064
HEBEI NORMAL UNIVERSITY                      	              1	     0.064
HEBREW UNIV                                  	              1	     0.064
HEFEI UNIVERSITY OF TECHNOLOGY               	              1	     0.064
HERIOT WATT UNIVERSITY                       	              1	     0.064
HERTIE SCHOOL                                	              1	     0.064
HIROSHIMA UNIVERSITY                         	              1	     0.064
HITOTSUBASHI UNIVERSITY                      	              1	     0.064
HOKKAIDO UNIVERSITY                          	              1	     0.064
HOOKE INST ATMOSPHER RES                     	              1	     0.064
HRUSKA DOO                                   	              1	     0.064
HSE UNIVERSITY NATIONAL RESEARCH UNIVERSITY H	              1	     0.064
IGHER SCHOOL OF ECONOMICS                    	               	          
HUMAN TECHNOPOLE                             	              1	     0.064
HUMBOLDT UNIVERSITY OF BERLIN                	              1	     0.064
HUN REN CENTRE FOR ECONOMIC REGIONAL STUDIES 	              1	     0.064
IBEI                                         	              1	     0.064
IBMS INST KNOWLEDGE MANAGEMENT               	              1	     0.064
IESE BUSINESS SCHOOL                         	              1	     0.064
IESEG SCHOOL OF MANAGEMENT                   	              1	     0.064
IMT ATLANTIQUE                               	              1	     0.064
IMT INSTITUT MINES TELECOM                   	              1	     0.064
INCUBATORE EUROMEDITERRANEO                  	              1	     0.064
INDIAN INSTITUTE OF MANAGEMENT AHMEDABAD     	              1	     0.064
INDIAN INSTITUTE OF MANAGEMENT UDAIPUR IIMU  	              1	     0.064
INDIAN INSTITUTE OF SCIENCE IISC BANGALORE   	              1	     0.064
INDIANA STATE UNIVERSITY                     	              1	     0.064
INDIANA UNIVERSITY INDIANAPOLIS              	              1	     0.064
INRIA                                        	              1	     0.064
INSEAD ASIA                                  	              1	     0.064
INST ADV STUDY TOULOUSE                      	              1	     0.064
INST ADV STUDY TOULOUSE IAST                 	              1	     0.064
INST COMPLEX SCI ICC                         	              1	     0.064
INST DATA ANALYT INFORMAT SYST               	              1	     0.064
INST DETUDES POLIT PARIS                     	              1	     0.064
INST EMPLOYMENT RES IAB                      	              1	     0.064
INST HOHERE STUDIEN                          	              1	     0.064
INST NATL ETUD DEMOG                         	              1	     0.064
INST PSYCHOANAL                              	              1	     0.064
INST SCI INTERCHANGE                         	              1	     0.064
INST SCI INTERCHANGE ISI FDN                 	              1	     0.064
INST SERV MKT TOURISM                        	              1	     0.064
INST STAT MATH                               	              1	     0.064
INST SYRI                                    	              1	     0.064
INSTITUTE FOR FUTURES STUDIES                	              1	     0.064
INSTITUTE OF POLITICAL STUDIES OF THE POLISH 	              1	     0.064
ACADEMY OF SCIENCES                          	               	          
INSTITUTE OF SCIENCE TOKYO                   	              1	     0.064
INSTITUTE OF SOCIAL SCIENCES UNIVERSITY OF LI	              1	     0.064
SBON ICS UL                                  	               	          
INSTITUTO MEXICANO DEL SEGURO SOCIAL         	              1	     0.064
INSTITUTO UNIVERSITARIO DE LISBOA            	              1	     0.064
INT UNIV JAPAN                               	              1	     0.064
INTER UNIV                                   	              1	     0.064
INTERDISCIPLINARY CENTRE FOR MATHEMATICAL COM	              1	     0.064
PUTATIONAL MODELLING                         	               	          
INTERUNIV CTR SOCIAL SCI THEORY METHODOL     	              1	     0.064
INTERUNIVERS CTR SOCIAL SCI THEORY METHODOL  	              1	     0.064
INTETIX INST                                 	              1	     0.064
INVEST KNOWLEDGE                             	              1	     0.064
IRCCS POLICLINICO GEMELLI                    	              1	     0.064
ISI FDN                                      	              1	     0.064
ISTANBUL BILGI UNIVERSITY                    	              1	     0.064
ISTITUTO DI INFORMATICA E TELEMATICA IIT CNR 	              1	     0.064
ISTITUTO DI RICERCA SU INNOVAZIONE E SERVIZI 	              1	     0.064
PER LO SVILUPPO IRISS CNR                    	               	          
ISTITUTO NAZIONALE DI FISICA NUCLEARE INFN   	              1	     0.064
JACOBS UNIVERSITY                            	              1	     0.064
JAGIELLONIAN UNIVERSITY                      	              1	     0.064
JIANGSU UNIVERSITY OF SCIENCE TECHNOLOGY     	              1	     0.064
JOHNS HOPKINS MEDICINE                       	              1	     0.064
KAROLI GASPAR UNIVERSITY OF REFORMED CHURCH  	              1	     0.064
KATEDRA EKON ILOSCIOWEJ SGH                  	              1	     0.064
KENT STATE UNIVERSITY                        	              1	     0.064
KENT STATE UNIVERSITY KENT                   	              1	     0.064
KENT STATE UNIVERSITY SALEM                  	              1	     0.064
KOREA BASIC SCIENCE INSTITUTE KBSI           	              1	     0.064
KOREA INSTITUTE FOR ADVANCED STUDY KIAS      	              1	     0.064
KWANSEI GAKUIN UNIVERSITY                    	              1	     0.064
KYUSHU UNIVERSITY                            	              1	     0.064
LA TROBE UNIVERSITY                          	              1	     0.064
LAB INTERDISCIPLINAIRE SOCIOL ECON CNAM CNRS 	              1	     0.064
LAFAYETTE COLLEGE                            	              1	     0.064
LAHORE UNIVERSITY OF MANAGEMENT SCIENCES     	              1	     0.064
LANCASTER UNIVERSITY                         	              1	     0.064
LAWRENCE BERKELEY NATIONAL LABORATORY        	              1	     0.064
LAWRENCE BERKELEY NATL LAB UC BERKELEY ITS   	              1	     0.064
LEE KUAN YEW SCH PUBL POLICY                 	              1	     0.064
LEHIGH UNIVERSITY                            	              1	     0.064
LEIBNIZ INSTITUT FUR BILDUNGSVERLAUFE LIFBI  	              1	     0.064
LEIBNIZ INSTITUT FUR DIE PADAGOGIK DER NATURW	              1	     0.064
ISSENSCHAFTEN UND MATHEMATIK AN DER UNIVERSITAT KIEL IPN	               	          
LEIBNIZ INSTITUT FUR EUROPAISCHE GESCHICHTE I	              1	     0.064
EG                                           	               	          
LEIBNIZ INSTITUTE FOR PSYCHOLOGY INFORMATION 	              1	     0.064
DOCUMENTATION                                	               	          
LIA                                          	              1	     0.064
LINNAEUS UNIVERSITY                          	              1	     0.064
LIPSCOMB UNIVERSITY                          	              1	     0.064
LISE 2LAB40                                  	              1	     0.064
LISE CONSERVATOIRE NATL ARTS METIERS CNRS    	              1	     0.064
LONDON BUSINESS SCHOOL                       	              1	     0.064
LONDON METROPOLITAN UNIVERSITY               	              1	     0.064
LOYOLA UNIVERSITY CHICAGO                    	              1	     0.064
MAASTRICHT UNIVERSITY MEDICAL CENTRE MUMC    	              1	     0.064
MAHIDOL UNIVERSITY                           	              1	     0.064
MAISON SCI HOMME                             	              1	     0.064
MAKERERE UNIVERSITY                          	              1	     0.064
MANAGEMENT RES GRP                           	              1	     0.064
MANULIFE FINANCIAL MANUFACTURERS LIFE INSURAN	              1	     0.064
CE CO                                        	               	          
MARQUETTE UNIVERSITY                         	              1	     0.064
MARYLAND DEPARTMENT OF HEALTH MENTAL HYGIENE 	              1	     0.064
MASSACHUSETTS GENERAL HOSPITAL               	              1	     0.064
MATHWORKS                                    	              1	     0.064
MAVEN 7                                      	              1	     0.064
MAYS BUSINESS SCHOOL                         	              1	     0.064
MCMASTER UNIVERSITY                          	              1	     0.064
MEDICAL UNIVERSITY OF VIENNA                 	              1	     0.064
MEMORIAL UNIVERSITY NEWFOUNDLAND             	              1	     0.064
MERCER UNIVERSITY                            	              1	     0.064
MICROSOFT                                    	              1	     0.064
MIDDLESEX UNIVERSITY                         	              1	     0.064
MINIST JUSTICE SECUR                         	              1	     0.064
MINIST PLANNING FINANCE                      	              1	     0.064
MINIST SECUR JUSTICE                         	              1	     0.064
MONASH UNIVERSITY                            	              1	     0.064
MONTEFIORE MEDICAL CENTER                    	              1	     0.064
NANJING UNIVERSITY                           	              1	     0.064
NANYANG TECHNOLOGICAL UNIVERSITY             	              1	     0.064
NARODOWY BANK POLSKI                         	              1	     0.064
NASA GODDARD SPACE FLIGHT CENTER             	              1	     0.064
NATIONAL ACADEMY OF MEDICAL SCIENCES OF UKRAI	              1	     0.064
NE                                           	               	          
NATIONAL CHENGCHI UNIVERSITY                 	              1	     0.064
NATIONAL DONG HWA UNIVERSITY                 	              1	     0.064
NATIONAL INSTITUTE FOR ENVIRONMENTAL STUDIES 	              1	     0.064
JAPAN                                        	               	          
NATIONAL KAPODISTRIAN UNIVERSITY OF ATHENS   	              1	     0.064
NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA  	              1	     0.064
NATL INST ALCOHOL RES                        	              1	     0.064
NATL SOCIOENVIRONM SYNTH CTR                 	              1	     0.064
NAVAL TRAINING SYST CTR                      	              1	     0.064
NAXYS UNIV NAMUR                             	              1	     0.064
NAZARBAYEV UNIVERSITY                        	              1	     0.064
NETANLAB                                     	              1	     0.064
NETHERLANDS INST SOCIAL RES                  	              1	     0.064
NETHERLANDS INSTITUTE FOR HEALTH SERVICES RES	              1	     0.064
EARCH                                        	               	          
NETHERLANDS INTERDISCIPLINARY DEMOGRAPHIC INS	              1	     0.064
TITUTE NIDI KNAW                             	               	          
NETHERLANDS NATIONAL INSTITUTE FOR PUBLIC HEA	              1	     0.064
LTH THE ENVIRONMENT                          	               	          
NEW COLLEGE FLORIDA                          	              1	     0.064
NEW ENGLAND COMPLEX SYST INST                	              1	     0.064
NEW MEXICO STATE UNIVERSITY                  	              1	     0.064
NEW YORK UNIVERSITY ABU DHABI                	              1	     0.064
NORTH CAROLINA STATE UNIVERSITY              	              1	     0.064
NORTH WEST UNIVERSITY SOUTH AFRICA           	              1	     0.064
NORTHUMBRIA UNIVERSITY                       	              1	     0.064
NORTHWESTERN INST COMPLEX SYST NICO          	              1	     0.064
NORTHWESTERN POLYTECHNICAL UNIVERSITY        	              1	     0.064
NORWEGIAN UNIVERSITY OF SCIENCE TECHNOLOGY NT	              1	     0.064
NU                                           	               	          
NOTTINGHAM TRENT UNIVERSITY                  	              1	     0.064
NSCR                                         	              1	     0.064
O M MARZEYEV INSTITUTE FOR PUBLIC HEALTH OF T	              1	     0.064
HE NATIONAL ACADEMY OF MEDICAL SCIENCES OF UKRAINE	               	          
OAKLAND UNIVERSITY                           	              1	     0.064
OFF NAVAL RES                                	              1	     0.064
OHIO WESLEYAN UNIVERSITY                     	              1	     0.064
OKLAHOMA STATE UNIVERSITY STILLWATER         	              1	     0.064
OKLAHOMA STATE UNIVERSITY SYSTEM             	              1	     0.064
ORANGE CTY DEPT EDUC                         	              1	     0.064
ORANGE SA                                    	              1	     0.064
OREBRO UNIVERSITY                            	              1	     0.064
OREGON STATE UNIVERSITY                      	              1	     0.064
ORT ACAD COLL TEACHERS                       	              1	     0.064
OSLO METROPOLIAN UNIV                        	              1	     0.064
OTTO VON GUERICKE UNIVERSITY                 	              1	     0.064
PACE UNIVERSITY                              	              1	     0.064
PACIFIC LUTHERAN UNIVERSITY                  	              1	     0.064
PARTHENOPE UNIVERSITY NAPLES                 	              1	     0.064
POLYTECHNIC UNIVERSITY OF TURIN              	              1	     0.064
PROCURA REPUBBL PRESSO TRIBUNALE PALERMO     	              1	     0.064
QATAR COMPUTING RESEARCH INSTITUTE           	              1	     0.064
QATAR FOUNDATION QF                          	              1	     0.064
QUEEN MARY UNIVERSITY LONDON                 	              1	     0.064
QUEENS UNIVERSITY BELFAST                    	              1	     0.064
QUINTUS ENTIAL SOLUT                         	              1	     0.064
RADIOTELEVIS SLOVENIJA                       	              1	     0.064
RELIASOFT CORP                               	              1	     0.064
RES DEPT                                     	              1	     0.064
RES FDN FLANDERS FWO                         	              1	     0.064
RES UNIT COMPLEX ECON UECE                   	              1	     0.064
RESEARCH INSTITUTE OF INDUSTRIAL ECONOMICS IF	              1	     0.064
N                                            	               	          
RESEARCH TRIANGLE INSTITUTE                  	              1	     0.064
RIETI                                        	              1	     0.064
ROCHE HOLDING                                	              1	     0.064
ROSKILDE UNIVERSITY                          	              1	     0.064
ROYAL HOLLOWAY UNIVERSITY LONDON             	              1	     0.064
ROYAL INSTITUTE OF TECHNOLOGY                	              1	     0.064
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY RMIT 	              1	     0.064
ROYAL NETHERLANDS ACADEMY OF ARTS SCIENCES   	              1	     0.064
RUHR UNIVERSITY BOCHUM                       	              1	     0.064
RUTGERS UNIVERSITY NEWARK                    	              1	     0.064
SAN DIEGO STATE UNIVERSITY                   	              1	     0.064
SAN FRANCISCO CTY MENTAL HLTH                	              1	     0.064
SAN JOSE STATE UNIVERSITY                    	              1	     0.064
SCH INT BUSINESS ENTREPRENEURSHIP SIBE       	              1	     0.064
SCI PO BORDEAUX                              	              1	     0.064
SCIE NZ                                      	              1	     0.064
SCIENCE SYSTEMS APPLICATIONS INC             	              1	     0.064
SEMEL INST CTR COMMUNITY HEALTH              	              1	     0.064
SHANDONG UNIVERSITY                          	              1	     0.064
SHENZHEN UNIVERSITY                          	              1	     0.064
SMITH COLLEGE                                	              1	     0.064
SOCIAL NETWORKS LAB                          	              1	     0.064
SOUTH LIMBURG PUBL HLTH SERV                 	              1	     0.064
SOUTHERN METHODIST UNIVERSITY                	              1	     0.064
SOUTHWESTERN UNIVERSITY OF FINANCE ECONOMICS 	              1	     0.064
CHINA                                        	               	          
SPENCER STUART                               	              1	     0.064
SSPA 2145                                    	              1	     0.064
STATE ST BANK                                	              1	     0.064
SUNY MARITIME COLLEGE                        	              1	     0.064
SWISS NATL CTR COMPETENCE RES LIVES OVERCOMIN	              1	     0.064
G VU                                         	               	          
TADEUSZ MANTEUFFEL INSTITUTE OF HISTORY OF TH	              1	     0.064
E POLISH ACADEMY OF SCIENCES                 	               	          
TALLINN UNIVERSITY                           	              1	     0.064
TALLINN UNIVERSITY OF TECHNOLOGY             	              1	     0.064
TARTU UNIVERSITY INSTITUTE OF ECOLOGY EARTH S	              1	     0.064
CIENCES                                      	               	          
TECHNIKER KRANKENKASSE                       	              1	     0.064
TECHNOL UNIV DUBLIN                          	              1	     0.064
TECHNOLOGICAL UNIVERSITY DUBLIN              	              1	     0.064
TECNOLOGICO DE MONTERREY                     	              1	     0.064
TELEFONICA SA                                	              1	     0.064
TELENOR GRP                                  	              1	     0.064
TEXAS A M UNIVERSITY CORPUS CHRISTI          	              1	     0.064
TEXAS TECH UNIVERSITY                        	              1	     0.064
TEXAS TECH UNIVERSITY SYSTEM                 	              1	     0.064
THE WORLD BANK                               	              1	     0.064
TIANJIN ACAD SOCIAL SCI                      	              1	     0.064
TIANJIN UNIVERSITY                           	              1	     0.064
TIME INC                                     	              1	     0.064
TINBERGEN INSTITUTE                          	              1	     0.064
TINHERGEN INST                               	              1	     0.064
TOKYO INSTITUTE OF TECHNOLOGY                	              1	     0.064
TOKYO INTERNATIONAL UNIVERSITY               	              1	     0.064
TORONTO METROPOLITAN UNIVERSITY              	              1	     0.064
TRINITY COLLEGE DUBLIN                       	              1	     0.064
TSINGHUA UNIVERSITY                          	              1	     0.064
UBER TECHNOLOGIES INC                        	              1	     0.064
UC BERKELEY ITS                              	              1	     0.064
UCD CASL                                     	              1	     0.064
UKRAINIAN ACAD PUBL SERV                     	              1	     0.064
UMEA UNIVERSITY                              	              1	     0.064
UNITED STATES MILITARY ACADEMY               	              1	     0.064
UNIV BUENOS AIRES IIGG UBA                   	              1	     0.064
UNIV CAMBRIDGE GIRTON COLL                   	              1	     0.064
UNIV CHICAGO HOSP L 300                      	              1	     0.064
UNIV CHICAGO MED                             	              1	     0.064
UNIV CREAT ARTS                              	              1	     0.064
UNIV DEBRECEN                                	              1	     0.064
UNIV EXETER BUSINESS SCH                     	              1	     0.064
UNIV GREENWICH UK                            	              1	     0.064
UNIV GRENOBLE ALPES PACTE                    	              1	     0.064
UNIV GRONINGEN ICS                           	              1	     0.064
UNIV LOUVAIN                                 	              1	     0.064
UNIV LOUVAIN UCLOUVAIN                       	              1	     0.064
UNIV LUGANO                                  	              1	     0.064
UNIV OXFORD                                  	              1	     0.064
UNIV SVIZZERA ITALIANA                       	              1	     0.064
UNIV TECHNOL CHEMNITZ                        	              1	     0.064
UNIV UTRECHT ICS                             	              1	     0.064
UNIVERSIDAD ADOLFO IBANEZ                    	              1	     0.064
UNIVERSIDAD AUTONOMA METROPOLITANA MEXICO    	              1	     0.064
UNIVERSIDAD DE CHILE                         	              1	     0.064
UNIVERSIDAD DE LEON                          	              1	     0.064
UNIVERSIDAD DE MALAGA                        	              1	     0.064
UNIVERSIDAD LOYOLA ANDALUCIA                 	              1	     0.064
UNIVERSIDAD NACIONAL DE COLOMBIA             	              1	     0.064
UNIVERSIDAD POLITECNICA DE MADRID            	              1	     0.064
UNIVERSIDADE DE AVEIRO                       	              1	     0.064
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO     	              1	     0.064
UNIVERSIDADE ESTADUAL PAULISTA               	              1	     0.064
UNIVERSIDADE FEDERAL DE AMAZONAS             	              1	     0.064
UNIVERSIDADE FEDERAL FLUMINENSE              	              1	     0.064
UNIVERSITA DI MODENA E REGGIO EMILIA         	              1	     0.064
UNIVERSITA LUMSA                             	              1	     0.064
UNIVERSITAT D ALACANT                        	              1	     0.064
UNIVERSITAT DE LES ILLES BALEARS             	              1	     0.064
UNIVERSITAT JAUME I                          	              1	     0.064
UNIVERSITAT RAMON LLULL                      	              1	     0.064
UNIVERSITAT TRIER                            	              1	     0.064
UNIVERSITE COTE D AZUR                       	              1	     0.064
UNIVERSITE DE LILLE                          	              1	     0.064
UNIVERSITE DE MONTPELLIER                    	              1	     0.064
UNIVERSITE DE TOULON                         	              1	     0.064
UNIVERSITE GRENOBLE ALPES UGA                	              1	     0.064
UNIVERSITE PARIS PANTHEON ASSAS              	              1	     0.064
UNIVERSITE TOULOUSE 1 CAPITOLE               	              1	     0.064
UNIVERSITY HEALTH NETWORK TORONTO            	              1	     0.064
UNIVERSITY MASSACHUSETTS DARTMOUTH           	              1	     0.064
UNIVERSITY OF AKRON                          	              1	     0.064
UNIVERSITY OF ALABAMA TUSCALOOSA             	              1	     0.064
UNIVERSITY OF ARKANSAS FAYETTEVILLE          	              1	     0.064
UNIVERSITY OF ARKANSAS SYSTEM                	              1	     0.064
UNIVERSITY OF BATH                           	              1	     0.064
UNIVERSITY OF BAYREUTH                       	              1	     0.064
UNIVERSITY OF BERGEN                         	              1	     0.064
UNIVERSITY OF BONN                           	              1	     0.064
UNIVERSITY OF BRITISH COLUMBIA OKANAGAN      	              1	     0.064
UNIVERSITY OF CALGARY                        	              1	     0.064
UNIVERSITY OF CALIFORNIA SANTA CRUZ          	              1	     0.064
UNIVERSITY OF CENTRAL FLORIDA                	              1	     0.064
UNIVERSITY OF CINCINNATI                     	              1	     0.064
UNIVERSITY OF CONNECTICUT                    	              1	     0.064
UNIVERSITY OF DAR ES SALAAM                  	              1	     0.064
UNIVERSITY OF DELAWARE                       	              1	     0.064
UNIVERSITY OF ESSEX                          	              1	     0.064
UNIVERSITY OF FOGGIA                         	              1	     0.064
UNIVERSITY OF GOTTINGEN                      	              1	     0.064
UNIVERSITY OF HAMBURG                        	              1	     0.064
UNIVERSITY OF HAWAII MANOA                   	              1	     0.064
UNIVERSITY OF HOUSTON                        	              1	     0.064
UNIVERSITY OF HOUSTON SYSTEM                 	              1	     0.064
UNIVERSITY OF HYOGO                          	              1	     0.064
UNIVERSITY OF IDAHO                          	              1	     0.064
UNIVERSITY OF INNSBRUCK                      	              1	     0.064
UNIVERSITY OF KENT                           	              1	     0.064
UNIVERSITY OF KERALA                         	              1	     0.064
UNIVERSITY OF L AQUILA                       	              1	     0.064
UNIVERSITY OF LATVIA                         	              1	     0.064
UNIVERSITY OF LAUSANNE                       	              1	     0.064
UNIVERSITY OF LIVERPOOL                      	              1	     0.064
UNIVERSITY OF MANITOBA                       	              1	     0.064
UNIVERSITY OF MASSACHUSETTS WORCESTER        	              1	     0.064
UNIVERSITY OF MISSISSIPPI                    	              1	     0.064
UNIVERSITY OF MISSOURI COLUMBIA              	              1	     0.064
UNIVERSITY OF MISSOURI SAINT LOUIS           	              1	     0.064
UNIVERSITY OF MONTANA                        	              1	     0.064
UNIVERSITY OF MONTANA SYSTEM                 	              1	     0.064
UNIVERSITY OF NAVARRA                        	              1	     0.064
UNIVERSITY OF NEUCHATEL                      	              1	     0.064
UNIVERSITY OF NEWCASTLE                      	              1	     0.064
UNIVERSITY OF NORTH CAROLINA GREENSBORO      	              1	     0.064
UNIVERSITY OF NORTH FLORIDA                  	              1	     0.064
UNIVERSITY OF NORTH TEXAS DENTON             	              1	     0.064
UNIVERSITY OF NORTH TEXAS SYSTEM             	              1	     0.064
UNIVERSITY OF OREGON                         	              1	     0.064
UNIVERSITY OF OVIEDO                         	              1	     0.064
UNIVERSITY OF PADUA                          	              1	     0.064
UNIVERSITY OF PALERMO                        	              1	     0.064
UNIVERSITY OF PAVIA                          	              1	     0.064
UNIVERSITY OF POTSDAM                        	              1	     0.064
UNIVERSITY OF PRIMORSKA                      	              1	     0.064
UNIVERSITY OF SALENTO                        	              1	     0.064
UNIVERSITY OF SALFORD                        	              1	     0.064
UNIVERSITY OF SAN FRANCISCO                  	              1	     0.064
UNIVERSITY OF SIENA                          	              1	     0.064
UNIVERSITY OF ST GALLEN                      	              1	     0.064
UNIVERSITY OF ST THOMAS MINNESOTA            	              1	     0.064
UNIVERSITY OF STUTTGART                      	              1	     0.064
UNIVERSITY OF TAIPEI                         	              1	     0.064
UNIVERSITY OF TARTU                          	              1	     0.064
UNIVERSITY OF TASMANIA                       	              1	     0.064
UNIVERSITY OF TEXAS AT SAN ANTONIO UTSA      	              1	     0.064
UNIVERSITY OF TEXAS EL PASO                  	              1	     0.064
UNIVERSITY OF TOKYO                          	              1	     0.064
UNIVERSITY OF TRIESTE                        	              1	     0.064
UNIVERSITY OF TWENTE                         	              1	     0.064
UNIVERSITY OF UDINE                          	              1	     0.064
UNIVERSITY OF VALENCIA                       	              1	     0.064
UNIVERSITY OF VICTORIA                       	              1	     0.064
